signI	signJ	{measureName}
1(N01)	NIM~a	54.37976190674041
1(N14)	SUHUR	54.16906168598352
3(N01)	5(N14)	54.15395464001085
1(N14)	UD5~a	53.987780687815246
5(N01)	GAL~a	53.98581590508393
BU~a	DU6~a	53.958333333333336
2(N14)	AN	53.90157108849236
1(N57)	PAP~a	53.871323186342345
5(N01)	8(N01)	53.625427267899134
2(N01)	DUG~a	53.545190650275934
PAP~a	SI	53.53005545965141
AN	GAL~a	53.486534432952695
GI	SAL	53.369517732673174
1(N01)	TI	53.31194124585186
1(N14)	KU6~a	53.29568919321262
1(N14)	HI	53.23957512553353
2(N01)	MUSZEN	53.207116502052926
3(N57)	SANGA~a	53.13547160319332
3(N14)	UDU~a	52.90860151100715
BU~a	SZU	52.86664685576578
3(N57)	SZU	52.75640288167155
E2~a	U4	52.72735369030425
AN	ME~a	52.7246625523188
PA~a	RAD~a	52.717325489985896
E2~a	SZE~a	52.65434353826928
2(N01)	AB2	52.402621775247695
NAM2	RAD~a	52.39860486518812
2(N14)	GAL~a	52.185402006454936
BU~a	U4	52.04133529701809
2(N01)	TE	52.014491562774886
2(N01)	MUSZ3~a	51.94087012158725
1(N14)	KI	51.9039569758076
4(N14)	SZE~a	51.88154259118523
1(N34)	6(N01)	51.80032258930223
SAL	SZE~a	51.73930708133804
5(N01)	BAR	51.59088513989209
HI	SAL	51.573450497331315
3(N57)	4(N01)	51.54705596484554
2(N34)	3(N14)	51.47807779632439
1(N01)	MU	51.41374378974228
A	PAP~a	51.23455189571446
1(N01)	9(N01)	51.222201784029906
1(N57)	3(N57)	51.1583578243183
1(N01)	UTUA~a	51.115310361738395
2(N14)	5(N14)	51.11164489290088
2(N01)	MA	51.091438983448356
GAL~a	TE	51.03371690779091
4(N01)	7(N01)	51.01449388096503
1(N01)	NAMESZDA	50.95555059308709
BU~a	TUR	50.92116118765951
SZE~a	SZU	50.53010414199904
EN~a	UDU~a	50.52230819992845
2(N45)	SZE~a	50.42163064735692
6(N01)	EN~a	50.35632042223879
1(N14)	MASZ	50.06660555228939
E2~a	GI	49.917856529268995
1(N01)	TUN3~a	49.912743141104045
EN~a	RAD~a	49.88531142986416
1(N14)	NAM2	49.81321645209175
EN~a	SZUBUR	49.78343039676266
A	SZE~a	49.76953810427659
5(N01)	GI	49.76264313200368
3(N14)	8(N01)	49.70008912694536
GAL~a	NUN~a	49.630316386983736
A	U4	49.35653529802529
EN~a	MUSZEN	49.25336329335353
1(N39~a)	SZE~a	49.18893603251135
HI	PAP~a	49.153846051206415
NUN~a	U4	49.14732020810664
1(N34)	2(N34)	49.0994961331083
2(N14)	GI	49.08658783639673
1(N14)	AB~a	48.92245292507404
1(N14)	PA~a	48.884153064277676
BA	UDU~a	48.8837988819431
1(N01)	KASZ~b	48.76593747101593
AN	MAR~a	48.75682912872763
2(N01)	GA2~a1	48.74905035134459
BU~a	KI	48.6438031454739
1(N34)	EN~a	48.63193234536843
A	E2~a	48.49984374542159
GAL~a	SAL	48.49544603174551
3(N01)	PA~a	48.42366812884524
3(N57)	GI	48.29609835428024
A	DU	48.28881024227532
3(N01)	KI	48.2606363627739
HASZHUR	MA	48.15967355220142
3(N01)	ME~a	48.09981646434265
E2~a	HI	48.05541841787448
2(N01)	ZATU753	47.995987977214924
2(N01)	UDUNITA~a	47.908643420808026
1(N01)	HI@g~a	47.86984350145766
DU	SAL	47.83049399812638
5(N01)	7(N01)	47.78920914952476
NUN~a	PAP~a	47.779213769981816
MASZ2	UD5~a	47.60271981461621
1(N01)	SZA3~a1	47.58813281378477
3(N01)	SANGA~a	47.58787430556209
1(N45)	2(N14)	47.587370038241104
6(N01)	8(N01)	47.485243419314436
1(N01)	URI3~a	47.387110557801925
2(N01)	U8	47.35139556752017
1(N14)	1(N45)	47.211476509961095
AB~a	GAL~a	47.17991337744068
AN	SAG	47.17710468886071
BU~a	HI	47.07916897641577
3(N14)	5(N14)	47.01068673975636
EN~a	NE~a	46.981087645682486
GAL~a	SZU	46.97352221546731
U8	UDUNITA~a	46.97066582730771
A	SAL	46.96006497092368
AB~a	AN	46.85099411564387
