signI	signJ	{measureName}
1(N01)	NAGA~a	91.13148716454364
1(N01)	SUKKAL	91.07937162492533
4(N14)	EN~a	90.97856474646545
BU~a	SAL	90.81507043379197
4(N01)	7(N01)	90.76987101807588
3(N01)	PA~a	90.36064615463468
EN~a	SZUBUR	90.0705162256453
1(N01)	MA	89.8637139101334
1(N14)	HI	89.6850503159088
1(N01)	ERIN	89.63156197570956
5(N01)	GAL~a	89.59713396203495
2(N01)	SZITA~a1	89.49491024073214
1(N01)	UB	89.48092826855546
1(N14)	SAG	89.44360272022116
AN	HI	89.39244159286103
3(N57)	AN	89.32211491883527
3(N01)	SI	89.2901084594227
SAL	SANGA~a	89.03944995666909
BU~a	NAM2	88.951091222711
GAL~a	SZE~a	88.82466982324185
SANGA~a	SZE~a	88.59804146773445
3(N01)	SAG	88.39641765989643
2(N14)	NUN~a	88.15289759272856
2(N01)	NE~a	87.61530853177432
AN	DU	87.54230231662417
3(N57)	4(N01)	87.46183569957677
DU	SZE~a	87.40187205222855
A	GI	87.2409670683227
4(N01)	SZU	87.20156728445572
AN	SANGA~a	86.97264101584932
2(N14)	GAL~a	86.87245395305945
1(N01)	PIRIG~b1	86.56616574026917
GAL~a	NUN~a	86.47487782003165
1(N57)	UDU~a	86.3569861914948
1(N01)	SZE3	86.3461479278746
E2~a	PAP~a	86.28491677643328
3(N57)	SZU	86.14861361174535
NAM2	PAP~a	86.1321197924969
4(N14)	SZE~a	86.12757032651496
PAP~a	SANGA~a	86.06338605051114
2(N01)	SZUBUR	86.03331573947358
E2~a	SZE~a	85.89230818986758
BU~a	DU	85.72207706920393
GAL~a	SZITA~a1	85.54288068947082
2(N01)	MASZ	85.44547699913154
BU~a	E2~a	85.0626990162152
U4	UDU~a	84.89222741002688
NAM2	PA~a	84.87171602365584
3(N01)	NAM2	84.77162483138187
1(N34)	5(N14)	84.69001494447691
3(N01)	SZU2	84.6383773267379
BA	UDU~a	84.33704868682374
BU~a	U4	84.2338910817954
3(N01)	ME~a	84.22854754911785
3(N01)	KI	84.15165918809087
5(N01)	E2~a	83.38920586618983
2(N01)	KUR~a	83.09679998273424
BU~a	SZU	83.09249924992793
AN	SI	83.07316682001678
NUN~a	SANGA~a	82.73499658118865
GAL~a	SAL	82.73424784170422
EN~a	SZITA~a1	82.43851955357287
2(N01)	RU	82.30525987865292
1(N01)	U8	82.23013517548381
2(N14)	E2~a	82.07598630103485
GI	SAL	82.00716447211008
5(N01)	NUN~a	81.72038650048873
PAP~a	SI	81.59376240756768
AN	SAG	81.48596103811808
3(N14)	BA	81.2514608235412
GAL~a	SZU	81.23414299341371
6(N01)	8(N01)	81.192218944644
3(N14)	UDU~a	81.17592326648547
3(N57)	SANGA~a	81.14688806183163
2(N01)	MUSZ3~a	81.14560700645468
3(N57)	GI	81.11038994235231
A	SAL	81.04491755692106
1(N57)	PAP~a	80.99416951421493
E2~a	SAL	80.96477485091486
1(N01)	2(N57)	80.92193991907509
4(N01)	NUN~a	80.76095516630508
BA	PAP~a	80.64006721712488
1(N34)	1(N57)	80.58051178964098
6(N01)	BA	80.46876368180321
3(N57)	5(N01)	80.34422215491671
2(N01)	MUSZEN	80.32226204270549
1(N01)	AMAR	80.30482918218651
1(N01)	KAB	80.29748816565088
3(N01)	KU6~a	80.26321131267785
1(N34)	U4	80.18936185236102
2(N01)	DUG~a	80.10859701833174
SI	SZE~a	80.01641438286823
2(N01)	UD5~a	79.77777345656801
2(N01)	TE	79.76199275988483
1(N57)	SZE~a	79.65747341094729
NUN~a	U4	79.63203811649109
1(N01)	DUB~a	79.55028162497021
SZU	U4	79.47844049392128
4(N01)	BU~a	79.46538699323305
A	DU	79.22056757845384
3(N14)	5(N14)	79.1735304695982
3(N57)	DU	79.06164461733852
2(N14)	A	79.05628728489495
BAR	U4	79.00031464218058
AB~a	SZE~a	78.94036464410854
BU~a	GI	78.92798907750101
4(N01)	E2~a	78.91711876780923
5(N14)	EN~a	78.83018709866327
1(N01)	NUNUZ~a1	78.54624813186688
2(N14)	PA~a	78.50785452451156
4(N01)	A	78.31580857627753
