signI	signJ	{measureName}
AN	HI	37.25345183017483
EN~a	ME~a	37.01220242402735
3(N57)	E2~a	36.95724331637269
1(N01)	KISAL~b1	36.93212065712065
1(N01)	SIG7	36.921277832261794
2(N14)	2(N34)	36.872664108076
1(N01)	DI	36.628453768453774
AN	U4	36.60632507092192
4(N01)	EN~a	36.55540777305483
BAD	TUG2~a	36.246753246753244
1(N01)	5(N01)	36.17253422961627
3(N01)	UDU~a	36.063738222561746
1(N57)	2(N14)	36.00749695743302
HI@g~a	ZATU714	35.98095238095238
2(N01)	TUR	35.91427736836737
1(N34)	5(N01)	35.89543161516847
2(N14)	UDU~a	35.66111111111111
SAL	SZU	35.51022637206848
1(N01)	APIN~a	35.30439380880558
1(N57)	EN~a	35.192230574293276
1(N01)	2(N57)	35.123819236319235
2(N01)	SI	34.806935743467996
2(N01)	SZU2	34.80547415547415
1(N01)	DUB~a	34.74918286477883
1(N01)	NAGA~a	34.738702963702956
KU6~a	RAD~a	34.67651607651609
AN	KI	34.218517496875705
2(N14)	7(N01)	33.996070533943666
2(N14)	U4	33.90196030970742
1(N57)	1(N58)	33.87503289194467
1(N01)	MASZ2	33.8670634920635
KU6~a	ZATU759	33.85714285714286
1(N01)	PIRIG~b1	33.83010309865573
3(N01)	GI	33.695797131761765
AN	BA	33.55155086141928
4(N14)	SZE~a	33.4914876582564
TUR	U4	33.46206536231504
1(N01)	DIN	33.4063492063492
1(N57)	4(N01)	33.324894549894545
1(N01)	KASZ~c	33.31767676767678
2(N01)	KUR~a	33.29431307254837
1(N01)	GAN2	33.156696244931545
1(N39~a)	SZE~a	33.124203986587894
3(N57)	SAL	33.06676991549532
GAL~a	GA~a	33.03980908152735
SAL	ZATU737	33.0
5(N01)	SAL	32.924747668052625
1(N01)	4(N14)	32.82395509435152
1(N14)	2(N34)	32.76121257016567
2(N01)	A	32.72278832278832
NUN~a	SANGA~a	32.71880652027711
1(N01)	UNUG~a	32.65475872167049
DI	NAM2	32.59605339105339
3(N01)	AN	32.30179082613293
5(N01)	BA	32.2776535598904
BA	U4	32.2644647019647
2(N01)	ME~a	32.23792726880963
1(N01)	NA~a	32.13370178840767
BU~a	SZE~a	32.13299755799757
1(N01)	DUG~a	32.10470707146909
1(N01)	NI~b	32.08333333333332
1(N01)	E2~b	31.938278388278395
3(N01)	SZU	31.858269958941314
U4	UDU~a	31.67215007215007
GI	U4	31.666037015867246
EN~a	TE	31.65141117052882
2(N01)	5(N01)	31.50009600220901
2(N34)	3(N14)	31.490248640248645
1(N01)	UDUNITA~a	31.43968253968254
1(N01)	NAR	31.383302808302812
SZE3	UDU~a	31.3452380952381
3(N57)	SU~a	31.33548085901027
2(N01)	PA~a	31.209210681333445
E2~a	KUR~a	31.172630474101066
1(N01)	MAR~a	31.06818181818182
BU~a	TUR	30.98030920867734
2(N01)	DU	30.740313262006815
1(N01)	1(N58)	30.638725490196077
AN	PAP~a	30.554189703222036
2(N39~a)	SZE~a	30.53886535726826
KAR2~a	NUN~a	30.51849252398788
3(N01)	4(N14)	30.40845290760152
EN~a	ZATU651	30.285714285714285
1(N01)	SZE3	30.217375679875687
EN~a	TUG2~a	30.19753229226914
2(N14)	GAR	30.15108239713503
1(N01)	UR2	30.117424242424246
TAR	UDU~a	30.0
1(N01)	IM~a	29.866666666666664
BU~a	DU	29.82390982359149
PAP~a	U4	29.717934304848576
2(N14)	8(N01)	29.64347739217304
3(N57)	NUNUZ~a1	29.37846907993967
1(N01)	KASZ~b	29.347907647907654
BA	UDU~a	29.280170401493937
5(N01)	AN	29.277253675976596
BU~a	SAL	29.175837130916644
2(N01)	4(N01)	29.11701659707425
A	TAK4~a	29.091838716838726
EN~a	SANGA~a	29.071994671994677
DUG~a	EN~a	28.971542638647907
3(N57)	SZE~a	28.926537637199402
EN~a	SZITA~a1	28.826049217380486
3(N14)	6(N01)	28.82440990382167
1(N14)	1(N45)	28.817204609116377
MUD	NUN~a	28.77738285106706
GAL~a	TE	28.754578754578752
1(N24)	2(N01)	28.72985845046526
3(N14)	UDU~a	28.685519480519478
2(N01)	MA	28.569444444444446
1(N01)	NAGAR~a	28.557264957264955
KISAL~b1	KU6~a	28.546410533910542
PA~a	SZE~a	28.52669913898362
1(N34)	1(N58)	28.515595416795104
BU~a	GI	28.42402317703675
1(N14)	E2~a	28.33871648270039
1(N34)	6(N01)	28.097951395010227
4(N01)	4(N14)	27.986690210374416
1(N45)	2(N14)	27.92801221766739
E2~a	U4	27.926744724821667
3(N01)	3(N57)	27.823068518598706
1(N01)	U8	27.820995670995682
1(N01)	KAB	27.807070707070707
2(N01)	NAM2	27.757750027750035
2(N01)	DUG~c	27.71810550560551
1(N01)	ZATU737	27.65714285714285
4(N01)	UDU~a	27.615463980463986
1(N01)	RU	27.575216450216452
GAL~a	UMUN2	27.57450980392158
GISZ	TE	27.52857142857143
1(N34)	SZE~a	27.22287336564719
EN~a	GA2~a1	27.187463924963932
E2~a	SAL	27.152978377249326
1(N01)	GIR2~a	27.104761904761908
3(N57)	BU~a	27.079454199827715
1(N01)	URU~a1	27.064692252192255
