signI	signJ	{measureName}
1(N14)	NUN~a	83.79111425704517
1(N57)	BA	83.71818258854374
SAL	U4	83.63915602047926
4(N01)	4(N14)	83.46434748148452
1(N01)	NAGA~a	83.32046916206296
2(N01)	SZITA~a1	83.19190009990135
1(N01)	E2~b	83.04705851738548
GI	U4	82.89555804352067
PA~a	SZE~a	82.77553240249642
A	SZE~a	82.75347579683579
BU~a	SAL	82.73904620402325
1(N01)	ERIM~a	82.6731762585924
AN	HI	82.35454045852265
1(N14)	BU~a	82.33081608023261
1(N01)	5(N14)	82.20954031278036
3(N57)	AN	82.19365791783085
EN~a	SZUBUR	82.14359544502008
4(N01)	UDU~a	82.01865891210616
BA	U4	82.01282950643649
1(N01)	SZE3	81.92785761270777
4(N01)	GI	81.90462452121724
EN~a	UDU~a	81.78576667603322
SAL	SZE~a	81.30366717245155
2(N14)	8(N01)	81.25864710608634
SZE~a	SZU	81.21165679681725
NI~a	RU	81.19636423982594
BU~a	E2~a	81.036203209368
4(N01)	8(N01)	80.99365199826427
AN	GAL~a	80.96269580350327
4(N01)	PAP~a	80.81403235173562
BU~a	DU	80.80075691909744
1(N01)	PIRIG~b1	80.76426619223685
3(N01)	BAR	80.75228407148863
NAM2	PA~a	80.75156092346589
1(N01)	UB	80.72429176284274
1(N14)	KU6~a	80.66267215209132
GAL~a	SZITA~a1	80.48800354209364
E2~a	PAP~a	80.26743062857818
5(N01)	GI	80.25550384553956
3(N57)	SZU	79.72318866227644
AN	DU	79.68272206012499
2(N14)	GI	79.62192103575154
2(N14)	AN	79.55340057862006
2(N01)	TUG2~a	79.15090376377125
2(N01)	NE~a	79.00402203089293
1(N14)	BAR	78.84385695642494
SAL	SZU	78.73233466064151
5(N14)	SZE~a	78.6408098479384
AN	SI	78.60957740227562
2(N14)	2(N34)	78.51464455444211
3(N14)	6(N01)	78.17904504252444
3(N01)	SANGA~a	78.15148958450723
1(N01)	U8	77.84604857744097
1(N14)	ME~a	77.3329391335422
1(N01)	AMAR	77.31954888361876
2(N14)	PAP~a	77.19438609896395
1(N14)	PA~a	77.16571234466953
1(N01)	GU7	77.11804805805878
1(N34)	EN~a	76.9316692088931
1(N14)	KI	76.89825397173895
SAL	SANGA~a	76.8872658029651
5(N01)	7(N01)	76.88269850831887
3(N01)	SI	76.55627957691055
2(N01)	DUG~a	76.47354897072073
BU~a	U4	76.3196654058332
2(N01)	TE	75.95075533173532
1(N01)	MASZ2	75.89227231118255
1(N01)	SIG2~b	75.8890336039866
EN~a	SZITA~a1	75.86022606584301
PAP~a	SI	75.65017957824114
1(N01)	9(N01)	75.60953353535139
4(N01)	SAL	75.60766860191637
6(N01)	EN~a	75.49791687724498
BU~a	SZU	75.47401411944854
GAL~a	NUN~a	75.455147689757
1(N01)	2(N57)	75.29672214105416
1(N01)	GI6	75.13056864212176
1(N34)	6(N01)	75.07489646929996
E2~a	SAL	74.9848186226001
KUR~a	SAL	74.93715689270519
DU	SZE~a	74.75705364916288
4(N01)	7(N01)	74.62679564862682
AN	SANGA~a	74.58143561992345
3(N01)	SZU2	74.48837025027137
1(N01)	KAB	74.30421740671784
SANGA~a	SZE~a	74.23770590842028
2(N01)	5(N14)	74.21195487544735
2(N01)	MASZ	74.19767745894657
GI	SAL	74.17643683298473
A	GI	74.08034881207354
PAP~a	SANGA~a	74.05380824052442
2(N01)	SZUBUR	73.91824367655875
2(N01)	RU	73.8601901607924
GAL~a	SAL	73.81520439530648
NUN~a	SANGA~a	73.64888753914306
E2~a	SZE~a	73.54960840719835
2(N01)	UD5~a	73.54813658083265
1(N34)	2(N34)	73.47656656117833
GAL~a	SZE~a	73.37848672511463
2(N01)	MUSZEN	72.81972120931663
E2~a	U4	72.69156784282269
1(N57)	PAP~a	72.65624795296543
AN	SAG	72.64222874308037
1(N01)	NUNUZ~a1	72.44776466051388
GA~a	ZATU753	72.24697089475941
1(N01)	1(N39~a)	72.24661777338618
3(N57)	DU	72.14520823281912
BU~a	GI	72.09554858152912
3(N01)	PA~a	72.00073547160382
2(N01)	MUSZ3~a	71.93690576807329
1(N57)	SZE~a	71.93510316588731
AN	ME~a	71.91418384353771
NUN~a	U4	71.71894460506054
1(N01)	DUB~a	71.63687942534663
3(N57)	GI	71.51770809659337
2(N01)	9(N01)	71.4139880214308
GAL~a	SZU	71.3050970677573
5(N01)	GAL~a	70.95848853321034
3(N01)	5(N14)	70.7412324924694
3(N01)	ME~a	70.69219572609518
3(N57)	SANGA~a	70.6350402964664
A	E2~a	70.63236983857688
1(N01)	SILA3~a	70.62627414333257
A	SAL	70.37396117284047
3(N01)	KI	70.33721956190575
2(N14)	5(N14)	70.31823220279368
2(N01)	KUR~a	70.26900813964697
1(N14)	NAM2	70.24934441270027
NUN~a	PAP~a	70.24565972083029
AN	SZU2	70.16775835820478
1(N01)	1(N58)	70.09819204024004
1(N34)	5(N14)	70.08085532628951
EN~a	MUSZEN	70.0324265429977
1(N14)	HI	69.92688932745288
5(N01)	E2~a	69.91834789481551
4(N14)	SZE~a	69.87603939079908
1(N01)	GADA~a	69.82034249435868
A	DU	69.80267342788123
3(N01)	SAG	69.79560154199837
BAR	SAL	69.73864332323106
BA	UDU~a	69.56615658651654
SZU	U4	69.5544949248694
HI	NUN~a	69.42332876601364
SI	SZE~a	69.36033203196979
1(N58)	BAD~a	69.06220795096255
1(N01)	UMUN2	69.0615977319751
HI	PAP~a	68.88730322947323
3(N57)	4(N01)	68.78997722654496
1(N01)	ZATU659	68.73623373843775
1(N24)	2(N01)	68.59034770668386
1(N57)	UDU~a	68.56023442771834
GAL~a	ME~a	68.45370158705947
E2~a	SZU	68.30345533778652
3(N01)	NAM2	68.2780557950958
GAL~a	GA~a	68.2137849626841
A	U4	68.20462758999993
AB~a	SZE~a	68.09882290149326
4(N01)	BU~a	68.06982903704416
BU~a	HI	67.90014323736943
U4	UDU~a	67.83785356562178
1(N24)	1(N39~a)	67.70004082272136
E2~a	GI	67.61932120458972
DU	SAL	67.45594445571695
1(N14)	AB~a	67.33747512494054
6(N01)	8(N01)	67.08214269851956
BU~a	GAL~a	66.97588553413794
1(N14)	SI	66.95378286593419
DU	SZU	66.88100545572716
1(N57)	3(N57)	66.86469321660718
EN~a	NE~a	66.76041308854215
EN~a	RU	66.71085073113768
1(N01)	KASZ~c	66.64595958560857
EN~a	GA~a	66.33787130818905
5(N01)	BAR	66.33113202970938
AB~a	AN	66.30749674788797
1(N34)	SZE~a	66.24265619922284
1(N01)	MAR~a	66.20119571353608
EN~a	RAD~a	66.15473519564824
1(N24)	SZE~a	66.0799971819801
PAP~a	PA~a	66.06782526623476
2(N01)	ZATU753	65.96888327114418
2(N14)	GAL~a	65.88758652035023
BU~a	SANGA~a	65.78826157919202
GI	SZU	65.6754830226277
BU~a	KI	65.647179260901
1(N14)	SAG	65.64514645554338
KAB	NAM2	65.63156078159457
1(N01)	MU	65.5125903634434
3(N14)	UDU~a	65.47737578234872
1(N57)	AN	65.4593061132469
EN~a	KISAL~b1	65.42263331266429
1(N14)	UD5~a	65.38766857558336
4(N14)	EN~a	65.26526087471524
3(N14)	5(N14)	65.20269634078423
BU~a	NUN~a	65.16242709976177
AB~a	GAL~a	65.14958283715828
2(N01)	GA~a	65.09284816549145
3(N57)	A	64.97061514344638
1(N01)	NAR	64.8442912821153
3(N57)	5(N01)	64.82764610412158
1(N01)	HI@g~a	64.73653711921114
1(N01)	GAN2	64.70483622396493
E2~a	NUN~a	64.69543265192841
DU	E2~a	64.62567688400783
2(N14)	E2~a	64.62104062057156
4(N01)	SZU	64.6006630432262
3(N01)	NI~a	64.48553481866979
1(N01)	UDUNITA~a	64.47057228993295
1(N14)	SUHUR	64.36627663469957
BU~a	TUR	64.32429861589274
1(N01)	1(N02)	64.31708444860219
A	SZU	64.21450783469825
2(N14)	NUN~a	64.21101077936267
4(N01)	E2~a	64.18336685425542
3(N01)	KU6~a	64.16869919210174
5(N01)	NUN~a	64.12591915383858
1(N14)	1(N24)	63.913824116985154
1(N01)	NA~a	63.88677540443651
GAL~a	U4	63.839603857314174
3(N01)	HI	63.80960239637587
1(N01)	NUN~b	63.787381476797165
NUN~a	SZE~a	63.70643282688522
1(N14)	U8	63.70554485781885
2(N34)	3(N14)	63.60964880719543
1(N01)	SIG7	63.56610840347748
GAL~a	PAP~a	63.5229482074081
NAM2	RAD~a	63.47663509527909
2(N01)	IB~a	63.41822869057915
5(N01)	SZU	63.40478000013785
1(N01)	AL	63.38284128303106
BAR	EN~a	63.38022599538458
3(N14)	8(N01)	63.36482806653906
6(N01)	UDU~a	63.292867542860016
2(N01)	AB2	63.23852757373836
SANGA~a	U4	63.07804554840354
2(N14)	GAR	62.94118864762374
2(N01)	DA~a	62.904848479077266
AN	PA~a	62.71120194805441
1(N14)	DUG~a	62.621973870510715
HI	SAL	62.579727355806476
PA~a	RAD~a	62.33275080130392
PAP~a	TUR	62.2526898998421
BA	PAP~a	62.14053198768017
4(N01)	NUN~a	62.11705784710501
DU	U4	62.033253442585355
EN~a	GISZ	61.97141134911606
KI	U4	61.86436267430532
1(N01)	DIN	61.8280642460396
AN	NAM2	61.796622027328475
BU~a	SI	61.75901321428877
GAL~a	TE	61.68291716028535
KI	PAP~a	61.59703803027148
6(N01)	BA	61.57738007413967
DU	KI	61.248467244896666
3(N01)	TUR	61.196299952538226
AN	SZUBUR	61.01191537851992
1(N57)	SZUBUR	60.87821517805394
1(N01)	TI	60.757999864197004
BA	SZU	60.73607146407578
2(N01)	GA2~a1	60.569537179857555
E2~a	HI	60.534126043636654
ME~a	PAP~a	60.532631627059594
1(N01)	NIM~a	60.503808067661275
BU~a	ME~a	60.36079868256189
1(N14)	MASZ	60.26062392221502
4(N01)	A	60.2068929674753
2(N01)	ERIM~a	60.166438579816806
BU~a	PA~a	60.10714842026227
1(N14)	TUR	60.0347544580525
PAP~a	SAG	60.03129365248635
NE~a	SZE~a	59.99953588956667
APIN~a	EN~a	59.985362940687665
GI	KI	59.968128663234026
SAL	TUR	59.954720410330296
1(N57)	BU~a	59.897991937697306
3(N14)	BA	59.84555331111966
E2~a	GAL~a	59.73699900023794
SI	U4	59.717721849569706
1(N34)	1(N57)	59.6793136380519
2(N57)	U4	59.64696522903836
KI	SZE~a	59.621118163671156
1(N57)	3(N14)	59.58782202190818
E2~a	SANGA~a	59.53916071112465
1(N57)	E2~a	59.37148200947746
A	NUN~a	59.20973323439272
GAL~a	PA~a	59.185083838701956
ME~a	SZU	59.13575851034179
2(N01)	U8	59.07790834365845
SAG	SZE~a	59.04856806144635
AB~a	GI	59.01941850690153
EN~a	MUSZ3~a	58.993251363354126
2(N01)	SU~a	58.965886684815466
DU	GI	58.896910966634195
5(N01)	ME~a	58.848872562704436
ME~a	SANGA~a	58.80951410410386
3(N57)	PIRIG~b1	58.79260391921511
EN~a	NI~a	58.78701781810489
KU6~a	SZE~a	58.67912286031856
AN	RU	58.66485890410562
3(N01)	AB~a	58.59513836732373
1(N57)	NAM2	58.56770762281599
